"Reference","Value","Datasheet","Footprint","Qty","DNP","OrderInfo"
"C1","100n","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1","","https://www.digikey.com/en/products/detail/kemet/C320C104M5R5TA/3726028"
"C3","4.7u","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1","","https://www.digikey.com/en/products/detail/kyocera-avx/TAP475M010SCS/1472017"
"C4,C5","22p","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2","","https://www.digikey.com/en/products/detail/tdk-corporation/FG28C0G1H220JNT06/5803099"
"D1,D8","LED","~","LED_THT:LED_D2.0mm_W4.8mm_H2.5mm_FlatTop","2","","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/151031SS04000/4489979"
"D2,D3,D4,D5,D6,D7","~","~","LED_THT:LED_D2.0mm_W4.8mm_H2.5mm_FlatTop","6","","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/151031SS04000/4489979"
"J1","Data_In","~","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","1","",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9","1k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","9","","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF18JT1K00/1741612"
"U1","ATmega328-P","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","Package_DIP:DIP-28_W7.62mm","1","","https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA328-PU/2271026"
"U2","74HCT574","http://www.ti.com/lit/gpn/sn74HCT574","Package_DIP:DIP-20_W7.62mm","1","","https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT574E/38721"
"U3,U4","D148K","https://ia800903.us.archive.org/24/items/CTKD1x8K/Cromatek%20D168K.pdf","Display_7Segment:D1X8K","2","","https://www.amazon.com/dp/B07GTQWF4R?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1"
"Y1","16MHz","~","Crystal:Crystal_HC49-U_Vertical","1","","https://www.digikey.com/en/products/detail/yic/16M20P2-49US/15648595"
